rho_s,r_s,MBH,chi2,reward,status,proposal_id
0.1,2.0,50000.0,,,todo,
53.28334919567342,2673.0123214476307,509553.035526467,13.919536912734099,-13.919536912734099,pass,1.0
71.35643182687298,1288.7097790110922,752693.6088721111,14.632454050063803,-14.632454050063803,pass,2.0
88.387929981036,778.7209172538112,670546.4383489265,18.11098090492324,-18.11098090492324,pass,3.0
64.3445515144713,3619.5177100394517,748725.2000668047,14.298254878278613,-14.298254878278613,pass,4.0
81.85475764066545,494.05307172724827,3553.9072081155477,41.03448331244849,-41.03448331244849,pass,5.0
23.08103846717029,66.21439091516702,353541.7110591318,1325.015154193426,-1325.015154193426,pass,6.0
18.528229188152086,3964.8781766274165,612172.0256531164,15.02419586440689,-15.02419586440689,pass,7.0
89.94292260274088,1580.2620583198322,406655.44253589946,13.818727368368194,-13.818727368368194,pass,8.0
98.02586234190385,2712.6155735945154,242294.61194293035,14.04570272440615,-14.04570272440615,pass,9.0
25.224242987395712,2827.9531531019466,133336.87991420375,15.225798916481313,-15.225798916481313,pass,10.0
87.62586826839475,2404.2576158757165,283325.86800975987,13.973487014305988,-13.973487014305988,pass,11.0
89.22108888801847,4139.021692663931,979970.4701516395,15.517711193702466,-15.517711193702466,pass,12.0
86.72331046708204,971.5607369725615,454490.673134089,14.771145420622869,-14.771145420622869,pass,13.0
80.51829764322488,3737.420926601065,919959.7184824316,15.079139937161033,-15.079139937161033,pass,14.0
22.047070924035616,4989.775724305444,602796.5202583806,13.893065285243908,-13.893065285243908,pass,15.0
3.5519421831708327,2779.827786929805,319642.5219249326,68.56364442032621,-68.56364442032621,pass,16.0
50.210512242943295,2667.9429761525544,662513.3897918408,14.033239986637088,-14.033239986637088,pass,17.0
45.82762235782085,553.8325327770599,729937.667518445,81.84496503620434,-81.84496503620434,pass,18.0
78.42037837087051,710.7420892427813,838686.941896812,24.31658959782034,-24.31658959782034,pass,19.0
40.27269177287153,2035.0861791595953,370666.3111862778,14.361153673047387,-14.361153673047387,pass,20.0
91.70157008626191,2455.9434368815982,965988.3696125202,14.76190103939644,-14.76190103939644,pass,21.0
6.9721900805515205,1813.4330142668643,45159.96385947485,263.2388218963282,-263.2388218963282,pass,22.0
33.57381481770324,2038.851373053759,233107.12527799016,15.97952422142139,-15.97952422142139,pass,23.0
20.37437188046259,4674.336989560324,577046.8267607731,13.968587972984036,-13.968587972984036,pass,24.0
62.42220909358569,4215.638515104945,176484.22862926027,14.026490138438398,-14.026490138438398,pass,25.0
85.07749495996505,1499.180823931249,834420.4911042664,14.261782523896887,-14.261782523896887,pass,26.0
95.77582675612436,578.0750431981874,116588.78098879555,25.408605699080205,-25.408605699080205,pass,27.0
4.575179774771857,2908.9716757027195,98027.46240337168,227.2171728614839,-227.2171728614839,pass,28.0
21.325592283073313,865.0721380064396,973148.6259011385,30.63324178121809,-30.63324178121809,pass,29.0
19.823724295247306,893.5473683331163,271988.94041032385,25.592465016430975,-25.592465016430975,pass,30.0
27.256879606956286,4027.4709773602794,173326.54755865896,13.598608565336288,-13.598608565336288,pass,31.0
30.781993512335525,2330.4757881815817,806967.1677227939,14.863604708949456,-14.863604708949456,pass,32.0
81.91546572775152,997.2239053678843,152537.47486775726,14.816152173648133,-14.816152173648133,pass,33.0
68.7020693328119,3564.1766122308027,167064.11463104674,13.853770523213589,-13.853770523213589,pass,34.0
24.894040681859405,4171.671631974397,813094.4686731682,14.156694079785883,-14.156694079785883,pass,35.0
46.614599461683824,2742.1469392568765,683412.8942924916,14.033218626410106,-14.033218626410106,pass,36.0
49.305716706807914,3544.763409402781,703609.8714755526,14.31854547066932,-14.31854547066932,pass,37.0
43.77976702636089,1020.5383553998621,423335.8897679711,30.63066670540883,-30.63066670540883,pass,38.0
80.37726411414803,4235.491811693818,127470.86402936914,14.453520593739219,-14.453520593739219,pass,39.0
43.14196536847575,4468.049834632983,550107.8596623684,14.254408781991875,-14.254408781991875,pass,40.0
24.764655872578967,2110.1645046000185,36656.65074761826,21.269763902850247,-21.269763902850247,pass,41.0
72.3982973288946,2668.399615223782,313386.34879795526,14.064445706955485,-14.064445706955485,pass,42.0
79.10825565612886,1688.4878194701998,833250.7012741071,14.286379240429037,-14.286379240429037,pass,43.0
68.15389519673293,799.829854173409,160509.74521787398,23.600617451772763,-23.600617451772763,pass,44.0
48.22927161163582,3206.0446848581537,510334.0322003012,14.022818019881626,-14.022818019881626,pass,45.0
32.63024705268643,868.1633934805328,652647.3426156915,57.81440030823765,-57.81440030823765,pass,46.0
72.45519642975357,3338.3287836608283,583274.5274088299,14.097826950796085,-14.097826950796085,pass,47.0
26.313288295430752,865.8224040286381,499284.8853116989,87.19316383421366,-87.19316383421366,pass,48.0
0.4501585693028398,3727.251739894525,150219.19839670806,79.75253158378435,-79.75253158378435,pass,49.0
51.24885579239072,4584.897946702512,519078.30063685944,13.994414595867909,-13.994414595867909,pass,50.0
63.68969099951979,1487.5568653331723,936953.8798370857,14.74305527186517,-14.74305527186517,pass,51.0
5.927814072575155,2130.529053966236,951258.5534386565,43.551009736850894,-43.551009736850894,pass,52.0
38.016376073558426,1425.1751207678851,268012.5841287333,21.680152315438335,-21.680152315438335,pass,53.0
6.620539168662376,3209.73989482788,725935.9344333045,57.00622382331343,-57.00622382331343,pass,54.0
71.5401302231754,4350.699701226633,342708.3169048486,14.403625963686405,-14.403625963686405,pass,55.0
97.35000009773182,4296.949354146928,186551.50792340792,14.770802803214483,-14.770802803214483,pass,56.0
44.88317187313802,129.05195577620438,432015.73270179285,1119.2974654133593,-1119.2974654133593,pass,57.0
28.727673380600333,1015.8743208966373,53343.28875303007,53.50678635366809,-53.50678635366809,pass,58.0
31.28796548537441,1130.0617335138063,421472.0888803648,40.55267243558463,-40.55267243558463,pass,59.0
24.525127204929454,3837.191516274717,357889.05954798864,13.77163052400958,-13.77163052400958,pass,60.0
37.36002112257799,3515.5485260995088,306917.9375576696,13.702234532429433,-13.702234532429433,pass,61.0
31.786494026320575,1797.4240397688382,84278.7650900243,19.43558753036043,-19.43558753036043,pass,62.0
86.17044138647184,523.0160173745729,475534.97833105596,19.69617404755049,-19.69617404755049,pass,63.0
9.221708170814088,3634.2603893567257,66322.55979712032,39.050569806768465,-39.050569806768465,pass,64.0
0.43390183951320227,1904.3511372465525,130956.79683601735,751.2486865958347,-751.2486865958347,pass,65.0
66.52515711313684,2090.803764564364,189232.287522466,13.71031581383467,-13.71031581383467,pass,66.0
26.870299759532454,952.9341140758938,710273.2776679917,67.1155508467609,-67.1155508467609,pass,67.0
64.79093682968971,506.4219209789446,229820.49161754758,53.837970023091536,-53.837970023091536,pass,68.0
83.0846106425227,1503.7492393068983,607574.976651433,13.92699792970285,-13.92699792970285,pass,69.0
98.65090458865049,4132.6706876488015,181918.37614385408,14.706436951070586,-14.706436951070586,pass,70.0
19.327807548204117,3977.11792012734,83908.94928959459,14.402428702804915,-14.402428702804915,pass,71.0
22.82877035278508,1150.2103550651955,497585.5888434708,61.2300808875248,-61.2300808875248,pass,72.0
61.129797766002774,1088.0174735703624,65979.3440260561,17.440479759804283,-17.440479759804283,pass,73.0
68.21334350751967,2933.6284180499333,238890.28802195168,14.015485151310443,-14.015485151310443,pass,74.0
79.65595854657889,92.09686581294456,805566.7554955393,446.0193387145383,-446.0193387145383,pass,75.0
12.31096045598142,104.89544350360914,801234.8734597921,1232.4661227670258,-1232.4661227670258,pass,76.0
30.20747649094953,2318.230762556626,850213.4627972908,16.17659720074909,-16.17659720074909,pass,77.0
