s1.in  95  30 -2  2  8 1 4
s2.in  32  95 -2  2  8 5 5
s3.in 238  75 -2  9 10 1 4
s4.in  79 237 -2  9 10 5 5
s5.in 593 187 -2 11 13 1 4
s6.in 197 590 -2 11 13 5 5
