ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err,x_pc,y_pc,r_pc,preprocess_mode
168.163486,22.137672,-28.174599000000004,0.036583,apogee,,,,,,,,,-780.8388842810597,-57.04650548045947,782.9199620605048,dwarf
168.200284,22.189747,24.1105,0.03983,apogee,,,,,,,,,-642.2408674381043,154.72258297796753,660.6151750384051,dwarf
168.262803,22.167553,-17.4056,0.022125,apogee,,,,,,,,,-406.76585751907743,64.46808179224983,411.8429268704303,dwarf
168.278057,22.341581,27.0617,0.023485,apogee,,,,,,,,,-349.31235056435213,772.1733324161937,847.5085684236604,dwarf
168.363596,22.159117,-28.340298,0.023658,apogee,,,,,,,,,-27.133542946305163,30.16209945455345,40.57069627607296,dwarf
168.418298,22.095345,-14.363199999999999,0.01115,apogee,,,,,,,,,178.89908701565236,-229.17420989101285,290.73304217822226,dwarf
168.476332,21.975931,36.784801,0.010401,apogee,,,,,,,,,397.48154555869905,-714.7852310945412,817.8688804757209,dwarf
