ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err,x_pc,y_pc,r_pc,preprocess_mode
210.03869096319,13.91432580204,-22.988915,19.920000076293945,gaia,1.230659557966618e+18,0.987,2.464,0.0259,-5.243,0.026,3.141,0.02,15.26851841599317,-674.6482444930184,674.8209995636851,dwarf
209.99926863963,13.91918953138,32.521085,4.25,gaia,1.2306603482406016e+18,0.992,1.1031,0.0204,-8.807,0.02,-11.092,0.015,-28.69628266663389,-669.0456304930349,669.6607591315964,dwarf
209.448865,14.439816,-41.751714,0.006667,apogee,,,,,,,,,-642.5207441969474,-69.32699116333974,646.2500587444158,dwarf
209.527269,14.584927,-134.43290800000003,0.194419,apogee,,,,,,,,,-555.0825631664637,97.82888107351928,563.6374206025962,dwarf
209.593613,14.455829,-339.94893,0.035296,apogee,,,,,,,,,-481.0940079614966,-50.88133933729733,483.77717514286854,dwarf
209.640871,14.352316,-450.874925,0.024127,apogee,,,,,,,,,-428.3906566128444,-170.11975546600965,460.9330600781407,dwarf
209.65749,14.155728,-809.718888,0.219433,apogee,,,,,,,,,-409.8567153528652,-396.5728748801114,570.3091900105732,dwarf
209.670751,14.207799,170.48908899999998,0.037818,apogee,,,,,,,,,-395.0677030748552,-336.5913888229188,519.0108409682628,dwarf
209.718829,14.67924,-0.7424550000000005,0.150922,apogee,,,,,,,,,-341.44986638813384,206.46965798412475,399.0209655200537,dwarf
209.759626,14.506487,-333.115922,0.185441,apogee,,,,,,,,,-295.9519903677587,7.472487566071773,296.0463117031912,dwarf
209.801951,14.893479,-95.531915,0.058122,apogee,,,,,,,,,-248.750048985723,453.25526977201247,517.0270074633427,dwarf
209.812967,15.063542,53.809184,0.034577,apogee,,,,,,,,,-236.4647191271743,649.1537826360742,690.8807399997606,dwarf
209.834157,14.968177,181.720092,0.197409,apogee,,,,,,,,,-212.83307972052896,539.3011887192246,579.7790027047321,dwarf
209.835492,14.839113,-51.199414,0.040495,apogee,,,,,,,,,-211.34425298114664,390.63013349682376,444.13769763881254,dwarf
209.850885,14.321609,71.96288200000001,0.137013,apogee,,,,,,,,,-194.17757882415125,-205.49168019106423,282.7220591778365,dwarf
209.897986,14.339921,-88.231812,0.143633,apogee,,,,,,,,,-141.64931796096758,-184.3977704778005,232.52326127936294,dwarf
209.951808,14.236001,-9.584913999999998,0.036062,apogee,,,,,,,,,-81.62562300377004,-304.1050169501871,314.86918500391107,dwarf
209.953345,14.328637,139.81408599999997,0.046333,apogee,,,,,,,,,-79.91152060790009,-197.3960053622733,212.95782225325624,dwarf
209.955472,14.841911,-729.27089,0.596271,apogee,,,,,,,,,-77.53943485907519,393.8531981198945,401.41338496309965,dwarf
209.96215,14.500822,113.807082,0.056557,apogee,,,,,,,,,-70.0919554839992,0.9468760257915765,70.09835089200847,dwarf
210.00356,14.959516,670.362106,1.6368,apogee,,,,,,,,,-23.910445912146283,529.3244329292224,529.8641946004283,dwarf
210.004481,14.614325,-386.81291300000004,0.036401,apogee,,,,,,,,,-22.883322745861697,131.6929460446047,133.66629529465698,dwarf
210.030017,14.067688,-235.413911,0.049028,apogee,,,,,,,,,5.5950889524394185,-497.9876745281951,498.01910505761253,dwarf
210.043716,14.529299,-90.718415,0.036887,apogee,,,,,,,,,20.872570228124676,33.75002515775982,39.6828475046514,dwarf
210.048925,14.417033,926.592086,0.046704,apogee,,,,,,,,,26.681782576844196,-95.57112315314076,99.22578849387283,dwarf
210.060708,14.59799,-123.10092200000001,0.157601,apogee,,,,,,,,,39.82249079431658,112.87637684592733,119.69505930875854,dwarf
210.083579,13.924063,16.521345,0.046728,apogee,,,,,,,,,65.32882514392847,-663.4317976478668,666.640536964987,dwarf
210.107594,14.435375,-710.901933,0.026728,apogee,,,,,,,,,92.11097806278251,-74.4426559206901,118.43201129850264,dwarf
210.121037,15.060706,-15.685716,0.089722,apogee,,,,,,,,,107.10296147680826,645.8869451553625,654.7067971842273,dwarf
210.131271,14.56763,426.160079,0.161347,apogee,,,,,,,,,118.51618458615026,77.9041674261659,141.82787212400294,dwarf
210.133341,14.717316,66.30458399999999,0.457901,apogee,,,,,,,,,120.82470245175239,250.33006133942382,277.96357375158743,dwarf
210.152131,14.657564,-644.7329259999999,0.242527,apogee,,,,,,,,,141.77979940552078,181.5006984524129,230.31286342317796,dwarf
210.15577,14.482787,112.269088,0.097162,apogee,,,,,,,,,145.83810689964002,-19.827952593621244,147.1798258190494,dwarf
210.176885,14.930794,-201.30491700000002,0.404748,apogee,,,,,,,,,169.3861043546152,496.23906405720464,524.3518485185334,dwarf
210.183127,14.222763,16.933595,0.043214,apogee,,,,,,,,,176.34734518409715,-319.3540982512007,364.80875294230077,dwarf
210.191547,14.324219,-10.969213999999997,0.032929,apogee,,,,,,,,,185.73754828949652,-202.4851760215799,274.7702373858625,dwarf
210.198096,14.749951,680.148055,0.115259,apogee,,,,,,,,,193.04116350770212,287.92288263105195,346.6474825395129,dwarf
210.221589,14.81925,6.716197,0.218659,apogee,,,,,,,,,219.2411684430296,367.7496000414628,428.1430348270549,dwarf
210.23869,14.92879,-574.115922,1.54736,apogee,,,,,,,,,238.31264864559165,493.9306217753456,548.4162448650266,dwarf
210.240516,14.586872,0.7424550000000005,0.02836,apogee,,,,,,,,,240.34905136182306,100.06936023430436,260.3488877414905,dwarf
210.258801,14.831053,698.633102,0.124763,apogee,,,,,,,,,260.74095917448585,381.34568000791455,461.96360836318013,dwarf
