SDSSJ100630.89+161512.1  321.0  8.8  1.9  0.7 13.3 54889.343 21.48 21.14 20.96 0 -9.999 -9.999 
SDSSJ100630.96+155543.6  204.5 11.8  2.1  0.5 11.6 54890.444 20.82 20.50 20.39 1  0.938  0.601 
SDSSJ100630.96+155543.6  191.5  8.7  0.7  0.4 11.6 54890.243                                   
SDSSJ100631.56+161217.2   -8.3  2.3  1.3  0.3 10.9 54889.343 22.06 20.50 18.59 0 -9.999 -9.999 
SDSSJ100631.59+155801.7   60.2  3.0  2.6  0.5  9.9 54890.243 23.82 22.40 21.15 0 -9.999 -9.999 
SDSSJ100631.84+160626.3  210.4  5.2 -0.2  0.5  7.8 54889.343 21.69 21.38 21.52 1  0.982  0.965 
SDSSJ100632.74+160919.9  -38.9  4.5  2.9  0.5  8.8 54881.416 24.18 21.99 21.28 0 -9.999 -9.999 
SDSSJ100632.99+155902.0  163.9  5.7  2.3  1.2  9.0 54890.444 22.77 21.95 21.43 0 -9.999 -9.999 
SDSSJ100633.35+160327.4  210.5 11.9 -2.0  0.9  7.2 54889.343 22.04 21.82 21.50 1  0.928  0.938 
SDSSJ100633.62+160908.9    7.4  2.2  3.2  0.3  8.5 54889.343 19.46 18.99 18.78 0  0.000  0.000 
SDSSJ100633.62+160908.9    2.3  3.3  3.7  0.4  8.5 54881.284                                   
SDSSJ100633.62+160908.9    5.6  2.3  3.6  0.3  8.5 54881.416                                   
SDSSJ100634.33+161234.8   68.4  2.2  3.5  0.3 10.7 54889.343 17.56 16.76 16.42 0 -9.999 -9.999 
SDSSJ100634.40+160826.8   87.2  2.8  4.8  0.6  8.0 54881.284 21.80 20.40 19.60 0 -9.999 -9.999 
SDSSJ100634.78+160657.2   -3.6  2.9  1.6  0.5  7.3 54881.416 25.24 23.89 21.96 0 -9.999 -9.999 
SDSSJ100634.81+155948.8 -161.1  2.9  4.6  0.4  8.2 54416.551 21.53 20.72 20.34 0 -9.999 -9.999 
SDSSJ100634.88+161417.2  -25.6  3.3  2.9  0.3 12.0 54889.343 19.78 19.14 18.91 0  0.000  0.000 
SDSSJ100634.93+155716.2   70.3  2.2  1.3  0.3  9.9 54890.444 17.31 16.75 16.45 0  0.000  0.000 
SDSSJ100635.53+160221.1    1.9  2.2  4.6  0.3  7.0 54416.551 17.70 16.82 16.50 0 -9.999 -9.999 
SDSSJ100635.55+160415.0   70.2  2.5  4.3  0.4  6.6 54881.284 18.68 18.19 18.01 0  0.000  0.000 
SDSSJ100635.55+160415.0   69.2  2.2  3.9  0.3  6.6 54889.343                                   
SDSSJ100636.09+160628.8  194.6  5.6  1.8  0.7  6.8 54889.343 21.99 21.53 21.37 1  0.897  0.622 
SDSSJ100636.25+160246.3  -20.7  2.7  3.5  0.4  6.7 54416.551 22.96 21.71 20.49 0 -9.999 -9.999 
SDSSJ100636.26+160142.0  200.3  3.8  0.4  0.4  7.0 54889.343 20.68 20.48 20.37 1  0.970  0.949 
SDSSJ100636.26+160142.0  212.2 15.8 -0.6  0.5  7.0 54416.551                                   
SDSSJ100636.45+155534.0  100.6  2.3  3.1  0.3 10.9 54890.444 21.38 20.06 19.26 0 -9.999 -9.999 
SDSSJ100636.65+161154.7 -128.6 15.9  1.2  1.6  9.8 54881.416 23.60 22.40 21.69 0 -9.999 -9.999 
