rho_s,r_s,MBH,ML,chi2,reward,status,proposal_id
0.01,300.0,500000.0,2.0,,,todo,
213.13788158565572,5341.366008904166,2038212.142105868,1.4844152572989708,15.606857656065346,-15.106857656065346,pass_full,1.0
0.01,5341.366008904166,2038212.142105868,1.4844152572989708,178.2598743992354,-177.7598743992354,pass_bh_only,1.0
213.13788158565572,5341.366008904166,0.0,1.4844152572989708,15.155134249916147,-14.655134249916147,pass_halo_only,1.0
213.13788158565572,5341.366008904166,4000000.0,1.4844152572989708,15.953055473202102,-15.453055473202102,pass_bh_up,1.0
213.13788158565572,5341.366008904166,1019106.071052934,1.4844152572989708,15.302285798765894,-14.802285798765894,pass_bh_down,1.0
400.0,5341.366008904166,2038212.142105868,1.4844152572989708,16.013810298395704,-15.513810298395704,pass_halo_up,1.0
106.56894079282786,5341.366008904166,2038212.142105868,1.4844152572989708,15.059980681081127,-14.559980681081127,pass_halo_down,1.0
213.13788158565572,5341.366008904166,2038212.142105868,2.0,15.602884143508351,-15.102884143508351,pass_ml_up,1.0
213.13788158565572,5341.366008904166,2038212.142105868,0.7422076286494854,15.524222719415283,-15.024222719415283,pass_ml_down,1.0
102.8070119132426,7526.936088721111,3535516.7347581745,0.478818348559932,15.43113230130923,-14.93113230130923,pass_full,2.0
0.01,7526.936088721111,3535516.7347581745,0.478818348559932,79.50127339286568,-79.00127339286568,pass_bh_only,2.0
102.8070119132426,7526.936088721111,0.0,0.478818348559932,15.115101869763441,-14.615101869763441,pass_halo_only,2.0
102.8070119132426,7526.936088721111,4000000.0,0.478818348559932,15.598257695109568,-15.098257695109568,pass_bh_up,2.0
102.8070119132426,7526.936088721111,1767758.3673790873,0.478818348559932,15.214783200287252,-14.714783200287252,pass_bh_down,2.0
205.6140238264852,7526.936088721111,3535516.7347581745,0.478818348559932,15.581526412266527,-15.081526412266527,pass_halo_up,2.0
51.4035059566213,7526.936088721111,3535516.7347581745,0.478818348559932,14.54433445855678,-14.04433445855678,pass_halo_down,2.0
102.8070119132426,7526.936088721111,3535516.7347581745,0.957636697119864,15.525235353681156,-15.025235353681156,pass_ml_up,2.0
102.8070119132426,7526.936088721111,3535516.7347581745,0.239409174279966,15.492690461973735,-14.992690461973735,pass_ml_down,2.0
268.2218698751871,6434.451585898716,2894508.6767082694,1.5477053601202484,15.708210699934021,-15.208210699934021,pass_full,3.0
0.01,6434.451585898716,2894508.6767082694,1.5477053601202484,52.625933997032135,-52.125933997032135,pass_bh_only,3.0
268.2218698751871,6434.451585898716,0.0,1.5477053601202484,15.660779598377324,-15.160779598377324,pass_halo_only,3.0
268.2218698751871,6434.451585898716,4000000.0,1.5477053601202484,15.664703641668126,-15.164703641668126,pass_bh_up,3.0
268.2218698751871,6434.451585898716,1447254.3383541347,1.5477053601202484,15.64720318197383,-15.14720318197383,pass_bh_down,3.0
400.0,6434.451585898716,2894508.6767082694,1.5477053601202484,16.365015254190784,-15.865015254190784,pass_halo_up,3.0
134.11093493759356,6434.451585898716,2894508.6767082694,1.5477053601202484,15.529843163042816,-15.029843163042816,pass_halo_down,3.0
268.2218698751871,6434.451585898716,2894508.6767082694,2.0,15.676515465456804,-15.176515465456804,pass_ml_up,3.0
268.2218698751871,6434.451585898716,2894508.6767082694,0.7738526800601242,15.666939116459416,-15.166939116459416,pass_ml_down,3.0
327.4207725076703,979.0852286831797,14215.628832462191,0.6154573078663732,14.252230624921594,-13.752230624921594,pass_full,4.0
0.01,979.0852286831797,14215.628832462191,0.6154573078663732,775.3306194729452,-774.8306194729452,pass_bh_only,4.0
327.4207725076703,979.0852286831797,0.0,0.6154573078663732,14.22058538418277,-13.72058538418277,pass_halo_only,4.0
327.4207725076703,979.0852286831797,28431.257664924382,0.6154573078663732,14.209125836654055,-13.709125836654055,pass_bh_up,4.0
327.4207725076703,979.0852286831797,7107.8144162310955,0.6154573078663732,14.266625595197244,-13.766625595197244,pass_bh_down,4.0
400.0,979.0852286831797,14215.628832462191,0.6154573078663732,14.400481757289741,-13.900481757289741,pass_halo_up,4.0
163.71038625383514,979.0852286831797,14215.628832462191,0.6154573078663732,13.535780655772713,-13.035780655772713,pass_halo_down,4.0
327.4207725076703,979.0852286831797,14215.628832462191,1.2309146157327464,14.18297868117989,-13.68297868117989,pass_ml_up,4.0
327.4207725076703,979.0852286831797,14215.628832462191,0.3077286539331866,14.240338852251478,-13.740338852251478,pass_ml_down,4.0
4.911930775206738,3535.417110591318,741125.9086519921,1.6269831267125825,26.85319326944404,-26.35319326944404,pass_full,5.0
0.01,3535.417110591318,741125.9086519921,1.6269831267125825,182.61556866617897,-182.11556866617897,pass_bh_only,5.0
4.911930775206738,3535.417110591318,0.0,1.6269831267125825,59.19852530346296,-58.69852530346296,pass_halo_only,5.0
4.911930775206738,3535.417110591318,1482251.8173039842,1.6269831267125825,55.42922658490773,-54.92922658490773,pass_bh_up,5.0
4.911930775206738,3535.417110591318,370562.95432599605,1.6269831267125825,59.764771216707985,-59.264771216707985,pass_bh_down,5.0
9.823861550413476,3535.417110591318,741125.9086519921,1.6269831267125825,18.714399038223917,-18.214399038223917,pass_halo_up,5.0
2.455965387603369,3535.417110591318,741125.9086519921,1.6269831267125825,187.95562176108794,-187.45562176108794,pass_halo_down,5.0
4.911930775206738,3535.417110591318,741125.9086519921,2.0,41.800690999177924,-41.300690999177924,pass_ml_up,5.0
4.911930775206738,3535.417110591318,741125.9086519921,0.8134915633562912,21.23798608254957,-20.73798608254957,pass_ml_down,5.0
244.87268854099005,8994.291254565343,1261471.1177736395,0.931979796564619,16.187648607020744,-15.687648607020744,pass_full,6.0
0.01,8994.291254565343,1261471.1177736395,0.931979796564619,210.48845123831597,-209.98845123831597,pass_bh_only,6.0
244.87268854099005,8994.291254565343,0.0,0.931979796564619,16.340610481072392,-15.840610481072392,pass_halo_only,6.0
244.87268854099005,8994.291254565343,2522942.235547279,0.931979796564619,16.102361721480385,-15.602361721480385,pass_bh_up,6.0
244.87268854099005,8994.291254565343,630735.5588868198,0.931979796564619,16.269438936834526,-15.769438936834526,pass_bh_down,6.0
400.0,8994.291254565343,1261471.1177736395,0.931979796564619,17.126393669766745,-16.626393669766745,pass_halo_up,6.0
122.43634427049503,8994.291254565343,1261471.1177736395,0.931979796564619,15.22226527909053,-14.72226527909053,pass_halo_down,6.0
244.87268854099005,8994.291254565343,1261471.1177736395,1.863959593129238,16.21501810639898,-15.71501810639898,pass_ml_up,6.0
244.87268854099005,8994.291254565343,1261471.1177736395,0.4659898982823095,16.270356186814524,-15.770356186814524,pass_ml_down,6.0
392.1036388850201,5420.6517989880185,969178.4477717214,0.6540350278081506,16.03623017127574,-15.53623017127574,pass_full,7.0
0.01,5420.6517989880185,969178.4477717214,0.6540350278081506,204.4460810263504,-203.9460810263504,pass_bh_only,7.0
392.1036388850201,5420.6517989880185,0.0,0.6540350278081506,16.074273697479878,-15.574273697479878,pass_halo_only,7.0
392.1036388850201,5420.6517989880185,1938356.8955434428,0.6540350278081506,15.898489794061907,-15.398489794061907,pass_bh_up,7.0
392.1036388850201,5420.6517989880185,484589.2238858607,0.6540350278081506,16.021343553017868,-15.521343553017868,pass_bh_down,7.0
400.0,5420.6517989880185,969178.4477717214,0.6540350278081506,16.08640609849695,-15.586406098496951,pass_halo_up,7.0
196.05181944251004,5420.6517989880185,969178.4477717214,0.6540350278081506,15.302064125691615,-14.802064125691615,pass_halo_down,7.0
392.1036388850201,5420.6517989880185,969178.4477717214,1.3080700556163012,16.01450819926035,-15.514508199260352,pass_ml_up,7.0
392.1036388850201,5420.6517989880185,969178.4477717214,0.3270175139040753,16.014151229872468,-15.514151229872468,pass_ml_down,7.0
226.06666300485438,1333.3687991420372,3505034.2357700258,1.0645973390543124,14.139199400665067,-13.639199400665067,pass_full,8.0
0.01,1333.3687991420372,3505034.2357700258,1.0645973390543124,129.57324864396907,-129.07324864396907,pass_bh_only,8.0
226.06666300485438,1333.3687991420372,0.0,1.0645973390543124,14.243585549424026,-13.743585549424026,pass_halo_only,8.0
226.06666300485438,1333.3687991420372,4000000.0,1.0645973390543124,14.204859435174725,-13.704859435174725,pass_bh_up,8.0
226.06666300485438,1333.3687991420372,1752517.1178850129,1.0645973390543124,14.096736799816984,-13.596736799816984,pass_bh_down,8.0
400.0,1333.3687991420372,3505034.2357700258,1.0645973390543124,14.991385088691434,-14.491385088691434,pass_halo_up,8.0
113.03333150242719,1333.3687991420372,3505034.2357700258,1.0645973390543124,13.45910253129293,-12.95910253129293,pass_halo_down,8.0
226.06666300485438,1333.3687991420372,3505034.2357700258,2.0,14.070508151220862,-13.570508151220862,pass_ml_up,8.0
226.06666300485438,1333.3687991420372,3505034.2357700258,0.5322986695271562,14.167043369413161,-13.667043369413161,pass_ml_down,8.0
113.33751394522386,8922.107810909658,3310527.882013158,1.963946846272951,15.637383752675232,-15.137383752675232,pass_full,9.0
0.01,8922.107810909658,3310527.882013158,1.963946846272951,158.44314788621114,-157.94314788621114,pass_bh_only,9.0
113.33751394522386,8922.107810909658,0.0,1.963946846272951,15.05953733038822,-14.55953733038822,pass_halo_only,9.0
113.33751394522386,8922.107810909658,4000000.0,1.963946846272951,15.763806139418348,-15.263806139418348,pass_bh_up,9.0
113.33751394522386,8922.107810909658,1655263.941006579,1.963946846272951,15.277861375366102,-14.777861375366102,pass_bh_down,9.0
226.67502789044772,8922.107810909658,3310527.882013158,1.963946846272951,15.973197078735534,-15.473197078735534,pass_halo_up,9.0
56.66875697261193,8922.107810909658,3310527.882013158,1.963946846272951,14.863820313003808,-14.363820313003808,pass_halo_down,9.0
113.33751394522386,8922.107810909658,3310527.882013158,2.0,15.6702294504247,-15.1702294504247,pass_ml_up,9.0
113.33751394522386,8922.107810909658,3310527.882013158,0.9819734231364755,15.637500957391909,-15.137500957391909,pass_ml_down,9.0
346.8945164317979,1935.0565304755985,1817962.692536356,1.6493290069070548,15.33827701653127,-14.83827701653127,pass_full,10.0
0.01,1935.0565304755985,1817962.692536356,1.6493290069070548,88.22512338006469,-87.72512338006469,pass_bh_only,10.0
346.8945164317979,1935.0565304755985,0.0,1.6493290069070548,15.190790711774616,-14.690790711774616,pass_halo_only,10.0
346.8945164317979,1935.0565304755985,3635925.385072712,1.6493290069070548,15.355150449849436,-14.855150449849436,pass_bh_up,10.0
346.8945164317979,1935.0565304755985,908981.346268178,1.6493290069070548,15.227634188817078,-14.727634188817078,pass_bh_down,10.0
