rho_s,r_s,MBH,ML,chi2,chi2_inner,chi2_outer,chi2_occ,N_inner,N_outer,N_nonzero_weights,effective_N_orbits,max_weight_fraction,reward,status,proposal_id,refine_passes
37.37,1759.0,120000.0,2.0,,,,,,,,,,,todo,,
53.283302478975905,2810.442024184958,764329.5532897005,1.4844152572989708,33.628496904772526,11.123105365375496,54.32953163590877,15.051353211103166,37.0,33.0,2500.0,1527.8268725226287,0.0023745004349868763,-33.128496904772526,pass_full,1.0,0.0
0.0,2810.442024184958,764329.5532897005,1.4844152572989708,9.126009627402969,8.020504239421092,8.769863737752162,16.152475204194246,37.0,33.0,2500.0,95.7150994730137,0.07775203915455094,-8.626009627402969,pass_bh_only,1.0,0.0
53.283302478975905,2810.442024184958,0.0,1.4844152572989708,33.708908537211464,11.243619721328974,54.35582657283189,15.031756863332655,37.0,33.0,2500.0,1558.7516861386482,0.0016107244225218548,-33.208908537211464,pass_halo_only,1.0,0.0
53.283302478975905,2810.442024184958,1500000.0,1.4844152572989708,13.048601156047802,11.145657927497522,13.14339315918174,15.086358728748833,37.0,33.0,2500.0,1521.0275641406236,0.0025132529875638776,-12.548601156047802,pass_bh_up,1.0,0.0
53.283302478975905,2810.442024184958,382164.77664485027,1.4844152572989708,33.7137222279533,11.25591818982708,54.35102087467407,15.05300515707132,37.0,33.0,2500.0,1553.3738844639154,0.001767846529188098,-33.2137222279533,pass_bh_down,1.0,0.0
100.0,2810.442024184958,764329.5532897005,1.4844152572989708,34.492964981808214,12.07569505405247,54.99446891581076,14.917497577644898,37.0,33.0,2500.0,1597.971745844756,0.0019045890132466338,-33.992964981808214,pass_halo_up,1.0,0.0
26.641651239487953,2810.442024184958,764329.5532897005,1.4844152572989708,12.629348796400668,11.05899890421632,12.393457954551803,15.369948606230666,37.0,33.0,2500.0,1384.135405132736,0.002146235703116976,-12.129348796400668,pass_halo_down,1.0,0.0
53.283302478975905,2810.442024184958,764329.5532897005,2.0,13.054977928816985,11.158801336348972,13.14211999128957,15.062934144453049,37.0,33.0,2500.0,1510.39613274438,0.0036792979426854846,-12.554977928816985,pass_ml_up,1.0,0.0
53.283302478975905,2810.442024184958,764329.5532897005,0.7422076286494854,13.037062788841316,11.170454171541722,13.093690142590196,15.047565011006613,37.0,33.0,2500.0,1512.5735837269613,0.0030223394188936665,-12.537062788841316,pass_ml_down,1.0,0.0
25.69989547569754,3837.6599616989224,1325818.7755343155,0.478818348559932,29.770587792930243,10.45032499605075,47.35972046908124,15.32599399983805,37.0,33.0,2500.0,1215.5687663624972,0.006074681403928773,-29.270587792930243,pass_full,2.0,0.0
0.0,3837.6599616989224,1325818.7755343155,0.478818348559932,11.212267411781141,13.044267438193895,7.293688919133415,16.6800196329785,37.0,33.0,2500.0,113.79585393194408,0.053309243996602376,-10.712267411781141,pass_bh_only,2.0,0.0
25.69989547569754,3837.6599616989224,0.0,0.478818348559932,33.138571992036916,10.875447451389881,53.62259997578755,15.208396572022101,37.0,33.0,2500.0,1409.9778681376226,0.001595796715045892,-32.638571992036916,pass_halo_only,2.0,0.0
25.69989547569754,3837.6599616989224,1500000.0,0.478818348559932,33.180532385337294,10.91153027221857,53.66619110281841,15.204210967166599,37.0,33.0,2500.0,1416.8112293020115,0.0017209716535173873,-32.680532385337294,pass_bh_up,2.0,0.0
25.69989547569754,3837.6599616989224,662909.3877671578,0.478818348559932,33.20417012718538,10.956202282097413,53.66134559724838,15.271339247433392,37.0,33.0,2500.0,1427.7733651644635,0.00245128727467246,-32.70417012718538,pass_bh_down,2.0,0.0
51.39979095139508,3837.6599616989224,1325818.7755343155,0.478818348559932,33.88850619477395,11.507215223726252,54.41708053144403,15.110788039556278,37.0,33.0,2500.0,1504.5374744339656,0.004206700766734932,-33.38850619477395,pass_halo_up,2.0,0.0
12.84994773784877,3837.6599616989224,1325818.7755343155,0.478818348559932,11.936768577418587,10.316567047782248,11.822772303581063,15.96225932350847,37.0,33.0,2500.0,1058.2818007402082,0.009492570327064858,-11.436768577418587,pass_halo_down,2.0,0.0
25.69989547569754,3837.6599616989224,1325818.7755343155,0.957636697119864,12.592303417275252,10.915237288179716,12.484191828694613,15.249915530594658,37.0,33.0,2500.0,1407.599713104651,0.0031299996756861052,-12.092303417275252,pass_ml_up,2.0,0.0
25.69989547569754,3837.6599616989224,1325818.7755343155,0.239409174279966,12.3194787968385,10.774833087249675,12.095844292810305,15.253914700363223,37.0,33.0,2500.0,1299.8263083284407,0.008530755436146837,-11.8194787968385,pass_ml_down,2.0,0.0
67.05464383489264,3324.1922453723964,1085440.753765601,1.5477053601202484,13.520420167408268,11.713563887900724,13.452126980927044,15.0256768260263,37.0,33.0,2500.0,1500.0528923605248,0.0034231475328561733,-13.020420167408268,pass_full,3.0,0.0
0.0,3324.1922453723964,1085440.753765601,1.5477053601202484,10.047492541076537,10.368196595596581,7.972964682595074,16.403399148340533,37.0,33.0,2500.0,104.66770882517169,0.05690397069758187,-9.547492541076537,pass_bh_only,3.0,0.0
67.05464383489264,3324.1922453723964,0.0,1.5477053601202484,34.18580423498081,11.94499389946883,54.52579480656564,14.947076611719789,37.0,33.0,2500.0,1560.2771934127397,0.0018953324724546765,-33.68580423498081,pass_halo_only,3.0,0.0
67.05464383489264,3324.1922453723964,1500000.0,1.5477053601202484,13.433495894326365,11.534537026846843,13.47691641435373,15.094617358533474,37.0,33.0,2500.0,1510.3646760321426,0.0033195049719199274,-12.933495894326365,pass_bh_up,3.0,0.0
67.05464383489264,3324.1922453723964,542720.3768828005,1.5477053601202484,34.20324991376432,11.874842188352824,54.63895626010889,14.959776755795673,37.0,33.0,2500.0,1546.2733178029737,0.0016331770326849723,-33.70324991376432,pass_bh_down,3.0,0.0
100.0,3324.1922453723964,1085440.753765601,1.5477053601202484,34.44244056103608,12.002401850573511,54.978115934498135,14.834382718723665,37.0,33.0,2500.0,1539.3389780745536,0.0018366947764609832,-33.94244056103608,pass_halo_up,3.0,0.0
33.52732191744632,3324.1922453723964,1085440.753765601,1.5477053601202484,12.694601297641066,11.102851888246795,12.478979831383757,15.231831343515292,37.0,33.0,2500.0,1434.9022230172595,0.003102067619340984,-12.194601297641066,pass_halo_down,3.0,0.0
67.05464383489264,3324.1922453723964,1085440.753765601,2.0,34.086392403744625,11.70161629258072,54.59684910289516,15.046075426118195,37.0,33.0,2500.0,1505.8599328992645,0.002138067246133125,-33.586392403744625,pass_ml_up,3.0,0.0
67.05464383489264,3324.1922453723964,1085440.753765601,0.7738526800601242,34.08123635267055,11.680917678479245,54.610095693965874,15.034487271651344,37.0,33.0,2500.0,1506.3631052160038,0.0032223089427254503,-33.58123635267055,pass_ml_down,3.0,0.0
81.85473949540494,760.1700574810945,5330.860812173321,0.6154573078663732,12.434016437641082,10.754593344614353,12.337730942480931,15.580010031710037,37.0,33.0,2500.0,1254.4705557864334,0.0036825715877318367,-11.934016437641082,pass_full,4.0,0.0
0.0,760.1700574810945,5330.860812173321,0.6154573078663732,619.6280121700913,640.6354967192422,520.4802802751192,16.086175535137745,37.0,33.0,2484.0,113.56827914261225,0.06057305705547764,-619.1280121700913,pass_bh_only,4.0,0.0
81.85473949540494,760.1700574810945,0.0,0.6154573078663732,12.824160661512934,10.742265897403723,13.131973793982517,15.57563025449262,37.0,33.0,2500.0,1252.9880289893772,0.003811242942266198,-12.324160661512934,pass_halo_only,4.0,0.0
81.85473949540494,760.1700574810945,10661.721624346643,0.6154573078663732,12.632847184873171,10.742717771196041,12.74874520322053,15.578764961097844,37.0,33.0,2500.0,1254.423078480962,0.003823131193485373,-12.132847184873171,pass_bh_up,4.0,0.0
81.85473949540494,760.1700574810945,2665.4304060866607,0.6154573078663732,12.425723665557596,10.749828879204216,12.326559485582028,15.577630372038634,37.0,33.0,2500.0,1254.6574892896815,0.003797371640766099,-11.925723665557596,pass_bh_down,4.0,0.0
100.0,760.1700574810945,5330.860812173321,0.6154573078663732,19.191611098442973,11.034919462990212,25.545859485925188,15.340949331066598,37.0,33.0,2500.0,1321.3867025453492,0.003667337847614854,-18.691611098442973,pass_halo_up,4.0,0.0
40.92736974770247,760.1700574810945,5330.860812173321,0.6154573078663732,34.37784554686463,10.060935999655376,56.98038200191296,16.33056804268981,37.0,33.0,2500.0,892.9607726003121,0.004888293840925998,-33.87784554686463,pass_halo_down,4.0,0.0
81.85473949540494,760.1700574810945,5330.860812173321,1.2309146157327464,12.381754626958134,10.718371951015701,12.273895517004158,15.57749113051857,37.0,33.0,2500.0,1249.4973096321517,0.0037627096580445667,-11.881754626958134,pass_ml_up,4.0,0.0
81.85473949540494,760.1700574810945,5330.860812173321,0.3077286539331866,12.5497644869574,10.737340117650385,12.588727149519793,15.574875851970784,37.0,33.0,2500.0,1248.2703124332738,0.0038072223611457542,-12.0497644869574,pass_ml_down,4.0,0.0
1.2255133316349753,1961.6460419779194,277922.215744497,1.6269831267125825,16.68262644035975,12.779384204663444,18.563586959745802,15.617759819584876,37.0,33.0,2500.0,104.96878093147545,0.08152612496553342,-16.18262644035975,pass_full,5.0,0.0
