ra,dec,vlos,vlos_err,src,x_pc,y_pc,r_pc
151.81074756716,16.03181163619,195.22000122070312,0.57,walker+2023 (hectocat),16.989878680591893,-20.10675790468941,26.323709674341515
151.6857485728,15.99828959016,219.0,3.53,walker+2023 (hectocat),-31.224310803609846,-33.56336963494771,45.84165536291809
151.59316963406,16.08117955988,210.52999877929688,1.36,walker+2023 (hectocat),-66.93354604596026,-0.2892031996222233,66.93417083058065
151.99202341599,16.03309812315,217.88999938964844,2.58,walker+2023 (hectocat),86.91098619947108,-19.59032894026186,89.09152883497013
151.76026751203,15.84867030945,208.1699981689453,0.56,walker+2023 (hectocat),-2.48111751160158,-93.6243983106162,93.65726828779115
152.06379268699,16.06403701245,205.7400054931641,1.11,walker+2023 (hectocat),114.5935867584184,-7.170662780776493,114.81771871481672
151.59691666666666,15.988999999999999,222.0,8.7,SIMON,-65.63609665670933,-37.310291270828586,75.49937098441919
151.62116666666668,16.106611111111114,200.9,14.2,SIMON,-56.28247073745446,9.901834622981855,57.146853292314354
151.629,15.928777777777777,204.5,11.8,SIMON,-53.26102456423661,-61.48504066567455,81.34584785526468
151.63266666666664,16.107305555555556,210.4,5.2,SIMON,-51.84673061081898,10.180602489618634,52.83680669838463
151.63895833333333,16.05761111111111,210.5,11.9,SIMON,-49.419930758906375,-9.768026046995459,50.376024943120335
151.650375,16.108,194.6,5.6,SIMON,-45.01633367665157,10.459370356256839,46.215459815271544
151.65108333333333,16.028333333333332,200.3,3.8,SIMON,-44.74311779928443,-21.52087930445317,49.64972141349318
151.66145833333331,16.103805555555557,212.9,7.4,SIMON,-40.74130877198514,8.775612441763622,41.67571972002727
151.663875,16.002388888888888,205.4,2.5,SIMON,-39.80916048449663,-31.935646802048353,51.035818746695824
151.66858333333332,16.043916666666668,204.6,6.4,SIMON,-37.99307847612347,-15.265328377095958,40.94513722719034
151.6726666666667,16.193194444444444,210.4,5.1,SIMON,-36.41806930070389,44.65861223540422,57.62523248007826
151.68112499999998,16.10125,209.4,6.4,SIMON,-33.15555029452149,7.749746692535539,34.04921569039454
151.68562500000002,16.024833333333333,209.3,7.5,SIMON,-31.419825897121893,-22.925869352308183,38.89474186782264
151.69975,16.13663888888889,203.8,6.5,SIMON,-25.9715798720024,21.955757176407175,34.008502381568576
151.70437499999997,16.06352777777778,217.0,13.6,SIMON,-24.18764090803182,-7.392923823239435,25.292237847848014
151.70679166666667,16.052305555555556,199.5,9.4,SIMON,-23.25549262053234,-11.89781254810952,26.122325326310186
151.7095833333333,16.11913888888889,203.2,6.5,SIMON,-22.178700633276055,14.930806937130681,26.73618816462716
151.717625,16.063666666666666,204.2,5.3,SIMON,-19.076896849051742,-7.337170249912365,20.4392284753011
151.71804166666666,16.043277777777778,211.5,8.8,SIMON,-18.91618162707172,-15.521794814403332,24.46932858925238
151.72104166666665,16.162888888888887,206.7,7.0,SIMON,-17.75903202881994,32.49318253532191,37.029584522033204
151.72691666666665,16.024055555555556,211.9,7.4,SIMON,-15.492947398898329,-23.23808936294263,27.9292000663309
151.72733333333332,16.107305555555556,209.6,11.8,SIMON,-15.332232176918305,10.180602489618634,18.40440193482413
151.73104166666667,16.071166666666667,213.5,3.8,SIMON,-13.901866701288428,-4.326477290222033,14.55954338305975
151.73925,16.05,217.3,4.2,SIMON,-10.735776828280878,-12.823321865347449,16.72406911516903
151.74008333333333,16.041694444444445,213.3,5.3,SIMON,-10.414346384320833,-16.15738555033764,19.222895682879724
151.7465,16.115222222222222,212.8,6.8,SIMON,-7.939331965826289,13.358556169291605,15.539755950197865
151.749,16.038472222222225,204.1,4.9,SIMON,-6.975040633946151,-17.45086845153709,18.793190297500114
151.753,16.102722222222223,203.9,10.0,SIMON,-5.432174502940122,8.340734569808191,9.953711518543532
151.75375,16.06688888888889,217.8,13.1,SIMON,-5.142887103371696,-6.043687348711494,7.935706933033898
151.754375,16.081527777777776,217.8,5.2,SIMON,-4.901814270396181,-0.16726071998406394,4.9046670926689035
151.75558333333333,16.033333333333335,209.2,2.7,SIMON,-4.435740126657403,-19.513750664658666,20.01155305001851
151.75583333333333,16.077944444444444,222.2,6.3,SIMON,-4.339310993471582,-1.6057029118353194,4.626867378598586
151.756125,16.051222222222222,200.9,6.1,SIMON,-4.22681033808447,-12.33269042006495,13.036915993872919
151.7587916666667,15.946361111111111,219.2,7.5,SIMON,-3.1982329173991677,-54.4266382824004,54.52052502055706
151.76025,15.848694444444446,208.4,2.4,SIMON,-2.635729640474569,-93.63255104636579,93.66964121948996
151.76254166666666,16.07361111111111,215.6,3.8,SIMON,-1.751795919589924,-3.3452143996570345,3.776141989327822
151.76358333333332,16.04288888888889,207.7,3.3,SIMON,-1.3500078646453477,-15.677904819720558,15.735921351189495
151.76383333333334,16.027944444444444,210.1,21.1,SIMON,-1.253578731448564,-21.676989309770395,21.713206238873155
151.77333333333334,16.072777777777777,203.4,2.5,SIMON,2.4107283297003437,-3.6797358396223103,4.399098422292995
151.77616666666668,15.970083333333333,198.4,8.1,SIMON,3.5035918391688847,-44.9039279580469,45.040402993722836
151.77812500000002,16.079,215.1,6.8,SIMON,4.258953382476089,-1.1819757545453047,4.419926537674293
151.78545833333334,16.067083333333333,208.7,3.5,SIMON,7.0875412893223,-5.965632346053594,9.264016991355819
151.78716666666668,16.079333333333334,206.0,23.1,SIMON,7.746473699443682,-1.0481671785589093,7.817065255604613
151.79141666666666,16.08422222222222,219.5,5.0,SIMON,9.385768963635531,0.9143586025710877,9.430202049417591
151.79200000000003,16.10663888888889,208.0,2.2,SIMON,9.61077027442072,9.91298533764727,13.807033844099125
151.79279166666666,16.065527777777778,198.9,9.6,SIMON,9.91612919616851,-6.59007236732249,11.906245085737694
151.79566666666668,15.96061111111111,216.9,4.5,SIMON,11.025064227838342,-48.706321658989474,49.93854033486469
