ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err,x_pc,y_pc,r_pc,preprocess_mode
15.661179,1.866435,-65.356166,0.067364,apogee,,,,,,,,,-7131.706240685503,-3334.2316244494173,7872.6319886624415,dwarf
15.688774,2.228222,-9.988695,0.004187,apogee,,,,,,,,,-6765.92231457164,1464.6928746442545,6922.646169193692,dwarf
15.71446,2.078875,23.718835,0.00539,apogee,,,,,,,,,-6425.4430275210325,-516.3207526174846,6446.154296904639,dwarf
15.716724,2.321669,8.227035,0.007758,apogee,,,,,,,,,-6395.432706494711,2704.220822488721,6943.656800280659,dwarf
15.73004,1.897215,-11.392395,0.024756,apogee,,,,,,,,,-6218.92323883272,-2925.950243188884,6872.859017622196,dwarf
15.731407,2.345143,8.348735000000001,0.212637,apogee,,,,,,,,,-6200.803049414413,3015.5917498347158,6895.197753458438,dwarf
15.771159,1.782638,11.055734999999999,0.027709,apogee,,,,,,,,,-5673.872713089757,-4445.75712495262,7208.161206466702,dwarf
15.814799,2.343527,-64.311164,0.023857,apogee,,,,,,,,,-5095.405217688088,2994.156314093418,5910.002230597589,dwarf
15.814979,1.932036,21.092736,0.036587,apogee,,,,,,,,,-5093.019238101198,-2464.067008072809,5657.779704083731,dwarf
15.816055,2.149469,4.770435,0.02474,apogee,,,,,,,,,-5078.75638234837,420.07352381870004,5096.09930796661,dwarf
15.835255,2.124222,17.149935,0.026052,apogee,,,,,,,,,-4824.25189307906,85.18463386793573,4825.003911886923,dwarf
15.840694,2.511128,-13.067744999999999,0.033788,apogee,,,,,,,,,-4752.155543228254,5217.300166616032,7057.138466517906,dwarf
15.87908,1.784187,-19.480865,0.027608,apogee,,,,,,,,,-4243.332140879746,-4425.210410866442,6130.934254929164,dwarf
15.910699,2.635557,-23.847965000000002,0.05478,apogee,,,,,,,,,-3824.2083155565,6867.788925188694,7860.731134043192,dwarf
15.91127,1.699074,11.631235999999998,0.038035,apogee,,,,,,,,,-3816.6394580891747,-5554.191996416392,6739.123495388635,dwarf
15.918597,1.728786,-20.460165,0.035127,apogee,,,,,,,,,-3719.516833460172,-5160.07710362845,6360.911977836524,dwarf
15.945071,1.581855,-3.755795,0.003272,apogee,,,,,,,,,-3368.592257995819,-7109.043693296769,7866.760199334408,dwarf
15.968135,2.39383,-12.647475,0.031652,apogee,,,,,,,,,-3062.8687402610767,3661.400574052759,4773.575084121161,dwarf
15.983423,1.974438,22.428335999999998,0.036828,apogee,,,,,,,,,-2860.2195406804026,-1901.6255809055276,3434.6813055717844,dwarf
16.025243,2.276874,11.159835000000001,0.019796,apogee,,,,,,,,,-2305.876949990703,2110.0374412812666,3125.5921858277065,dwarf
16.047139,2.32215,-0.7938450000000001,0.027391,apogee,,,,,,,,,-2015.6357886864691,2710.6010481023154,3377.8907138341665,dwarf
16.056797,1.763663,-17.612565,0.029247,apogee,,,,,,,,,-1887.6147284071635,-4697.451056382723,5062.522670567591,dwarf
16.081595,2.156743,-8.872425,0.009825,apogee,,,,,,,,,-1558.9062739852588,516.5595136591575,1642.2613988711992,dwarf
16.083551,2.639254,25.177235,0.012388,apogee,,,,,,,,,-1532.9786291409623,6916.82779024783,7084.668669553121,dwarf
