ra,dec,vlos,vlos_err,vlos_src,x_pc,y_pc,r_pc,preprocess_mode
260.23277518541,57.33629405928,13.999598999999996,6.039999961853027,gaia,127.58081071469216,-768.0225641170014,778.5470584720435,dwarf
260.28440841608,57.35742757945,20.369598999999997,3.819999933242798,gaia,163.96022633577047,-739.9900013947649,757.936777036384,dwarf
258.938469,57.83963,-31.779003000000003,0.002258,apogee,-784.3532683462372,-100.37248901879003,790.7494458532686,dwarf
258.954718,58.034935,-18.609100000000005,0.025183,apogee,-772.9046505325408,158.68987344737917,789.0272965807801,dwarf
259.053598,58.125923,10.614098999999996,0.005392,apogee,-703.2364045224052,279.3809271125225,756.7001672259975,dwarf
259.053598,58.125923,10.392598999999997,0.006323,apogee,-703.2364045224052,279.3809271125225,756.7001672259975,dwarf
259.061203,57.799072,0.0,0.020582,apogee,-697.8781216451683,-154.17065750860726,714.7044594149561,dwarf
259.09858,57.876251,-319.183392,5.0158,apogee,-671.5432710067629,-51.79655509044334,673.537859332124,dwarf
259.105822,58.084496,22.676998999999995,0.015487,apogee,-666.4407483773074,224.43007337153364,703.215563629857,dwarf
259.112441,57.725746,-4.012303000000003,0.011263,apogee,-661.7771751538028,-251.433947184716,707.9322420623555,dwarf
259.115811,57.802372,-246.617413,0.068672,apogee,-659.4027618340511,-149.79337174461182,676.2026741539802,dwarf
259.142484,58.116196,4.717898999999996,0.035055,apogee,-640.6096679239845,266.4785457105845,693.8238695531495,dwarf
259.142484,58.116196,4.490100999999996,0.030053,apogee,-640.6096679239845,266.4785457105845,693.8238695531495,dwarf
259.155873,58.283562,-2.9826010000000025,0.037078,apogee,-631.1761308504749,488.48121515843167,798.121047033615,dwarf
259.190886,57.8382,-628.171429,0.087213,apogee,-606.5068924043617,-102.26931284986485,615.0687952455233,dwarf
259.204183,57.683228,45.164769,0.051741,apogee,-597.138176109912,-307.83195812830667,671.8143462393311,dwarf
259.231718,57.787998,-75.592404,5.33095,apogee,-577.7377396830511,-168.8597673724077,601.9090603165437,dwarf
259.233357,57.976723,-347.206402,3.66781,apogee,-576.5829434126873,81.47455257038771,582.3109078069748,dwarf
259.239431,57.741047,-96.29340800000001,0.043171,apogee,-572.3033628477078,-231.13793219230328,617.2162366828411,dwarf
259.24069,58.103767,8.850999999999996,0.016871,apogee,-571.4163045778421,249.99209578306125,623.7087790719355,dwarf
259.265161,57.628925,-9.367802000000005,0.010477,apogee,-554.1746819229795,-379.862185050305,671.8666963882253,dwarf
259.268679,57.766888,13.883698999999996,0.021891,apogee,-551.6959916977742,-196.861131759702,585.7668243022143,dwarf
259.280397,58.220524,1.8769989999999979,0.056726,apogee,-543.439797252542,404.86444546414725,677.6739868394503,dwarf
259.336713,58.28265,-3.8244020000000063,0.059904,apogee,-503.7610255868825,487.27149254728187,700.8628099347286,dwarf
259.342717,58.123734,-1254.200421,0.485299,apogee,-499.5307651798593,276.47732755574594,570.9384362727237,dwarf
259.393008,57.994991,26.809698999999995,0.012592,apogee,-464.0970499685131,105.70614539970968,475.9830469299732,dwarf
259.410731,58.077488,-519.732403,0.727087,apogee,-451.60989054258755,215.1343101490708,500.23420978498115,dwarf
259.436372,57.923138,12.468898999999997,0.010197,apogee,-433.5439166758369,10.396716914620185,433.6685593967215,dwarf
259.440899,58.116398,-14.021500000000003,0.057166,apogee,-430.35431160212534,266.7464886573301,506.31859804430877,dwarf
259.442414,57.706085,-34.100498,0.20664,apogee,-429.28688246880694,-277.51328518655515,511.17594907704876,dwarf
259.489649,57.763557,29.291928999999996,0.660711,apogee,-396.00634443998973,-201.27953748088512,444.2234539567253,dwarf
259.489649,57.763557,32.676379,0.638588,apogee,-396.00634443998973,-201.27953748088512,444.2234539567253,dwarf
259.489649,57.763557,31.974489,0.412814,apogee,-396.00634443998973,-201.27953748088512,444.2234539567253,dwarf
259.492339,58.347744,-11.082199000000003,0.059528,apogee,-394.1110412263245,573.6154439175625,695.9584688163799,dwarf
