ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err,x_pc,y_pc,r_pc,has_vlos,preprocess_mode
209.448865,14.439816,-49.192799,0.006667,apogee,,,,,,,,,-642.5207441969474,-69.32699116333974,646.2500587444158,True,dwarf
209.527269,14.584927,-141.873993,0.194419,apogee,,,,,,,,,-555.0825631664637,97.82888107351928,563.6374206025962,True,dwarf
209.593613,14.455829,-347.390015,0.035296,apogee,,,,,,,,,-481.0940079614966,-50.88133933729733,483.77717514286854,True,dwarf
209.640871,14.352316,-458.31601,0.024127,apogee,,,,,,,,,-428.3906566128444,-170.11975546600965,460.9330600781407,True,dwarf
209.65749,14.155728,-817.159973,0.219433,apogee,,,,,,,,,-409.8567153528652,-396.5728748801114,570.3091900105732,True,dwarf
209.670751,14.207799,163.048004,0.037818,apogee,,,,,,,,,-395.0677030748552,-336.5913888229188,519.0108409682628,True,dwarf
209.718829,14.67924,-8.18354,0.150922,apogee,,,,,,,,,-341.44986638813384,206.46965798412475,399.0209655200537,True,dwarf
209.759626,14.506487,-340.557007,0.185441,apogee,,,,,,,,,-295.9519903677587,7.472487566071773,296.0463117031912,True,dwarf
209.801951,14.893479,-102.973,0.058122,apogee,,,,,,,,,-248.750048985723,453.25526977201247,517.0270074633427,True,dwarf
209.812967,15.063542,46.368099,0.034577,apogee,,,,,,,,,-236.4647191271743,649.1537826360742,690.8807399997606,True,dwarf
209.834157,14.968177,174.279007,0.197409,apogee,,,,,,,,,-212.83307972052896,539.3011887192246,579.7790027047321,True,dwarf
209.835492,14.839113,-58.640499,0.040495,apogee,,,,,,,,,-211.34425298114664,390.63013349682376,444.13769763881254,True,dwarf
209.850885,14.321609,64.521797,0.137013,apogee,,,,,,,,,-194.17757882415125,-205.49168019106423,282.7220591778365,True,dwarf
209.897986,14.339921,-95.672897,0.143633,apogee,,,,,,,,,-141.64931796096758,-184.3977704778005,232.52326127936294,True,dwarf
209.951808,14.236001,-17.025999,0.036062,apogee,,,,,,,,,-81.62562300377004,-304.1050169501871,314.86918500391107,True,dwarf
209.953345,14.328637,132.373001,0.046333,apogee,,,,,,,,,-79.91152060790009,-197.3960053622733,212.95782225325624,True,dwarf
209.955472,14.841911,-736.711975,0.596271,apogee,,,,,,,,,-77.53943485907519,393.8531981198945,401.41338496309965,True,dwarf
209.96215,14.500822,106.365997,0.056557,apogee,,,,,,,,,-70.0919554839992,0.9468760257915765,70.09835089200847,True,dwarf
210.00356,14.959516,662.921021,1.6368,apogee,,,,,,,,,-23.910445912146283,529.3244329292224,529.8641946004283,True,dwarf
210.004481,14.614325,-394.253998,0.036401,apogee,,,,,,,,,-22.883322745861697,131.6929460446047,133.66629529465698,True,dwarf
