rho_s,r_s,MBH,ML,chi2,reward,status,proposal_id
1.0,1800.0,900000.0,2.0,,,todo,
7.9971670415984875,8012.049013356249,2547765.177632335,1.4844152572989708,14.367459612461047,-13.867459612461047,pass_full,1.0
0.01,8012.049013356249,2547765.177632335,1.4844152572989708,1234.742794297483,-1234.242794297483,pass_bh_only,1.0
7.9971670415984875,8012.049013356249,0.0,1.4844152572989708,29.512616786559462,-29.012616786559462,pass_halo_only,1.0
7.9971670415984875,8012.049013356249,5000000.0,1.4844152572989708,27.79555041272657,-27.29555041272657,pass_bh_up,1.0
7.9971670415984875,8012.049013356249,1273882.5888161676,1.4844152572989708,15.152585767165347,-14.652585767165347,pass_bh_down,1.0
15.0,8012.049013356249,2547765.177632335,1.4844152572989708,30.47429362690351,-29.97429362690351,pass_halo_up,1.0
3.9985835207992437,8012.049013356249,2547765.177632335,1.4844152572989708,16.257576443751653,-15.757576443751653,pass_halo_down,1.0
7.9971670415984875,8012.049013356249,2547765.177632335,2.0,19.128106256487488,-18.628106256487488,pass_ml_up,1.0
7.9971670415984875,8012.049013356249,2547765.177632335,0.7422076286494854,29.02076671085859,-28.52076671085859,pass_ml_down,1.0
3.8624143318070616,11290.404133081667,4419395.918447718,0.478818348559932,16.62934497117808,-16.12934497117808,pass_full,2.0
0.01,11290.404133081667,4419395.918447718,0.478818348559932,1139.9643447545704,-1139.4643447545704,pass_bh_only,2.0
3.8624143318070616,11290.404133081667,0.0,0.478818348559932,15.217063463322964,-14.717063463322964,pass_halo_only,2.0
3.8624143318070616,11290.404133081667,5000000.0,0.478818348559932,15.466694721013997,-14.966694721013997,pass_bh_up,2.0
3.8624143318070616,11290.404133081667,2209697.959223859,0.478818348559932,13.71587176943813,-13.21587176943813,pass_bh_down,2.0
7.724828663614123,11290.404133081667,4419395.918447718,0.478818348559932,15.207711510645623,-14.707711510645623,pass_halo_up,2.0
1.9312071659035308,11290.404133081667,4419395.918447718,0.478818348559932,29.344607945261178,-28.844607945261178,pass_halo_down,2.0
3.8624143318070616,11290.404133081667,4419395.918447718,0.957636697119864,31.673541618008983,-31.173541618008983,pass_ml_up,2.0
3.8624143318070616,11290.404133081667,4419395.918447718,0.239409174279966,18.44428701922259,-17.94428701922259,pass_ml_down,2.0
10.061491110850408,9651.677378848075,3618135.845885337,1.5477053601202484,21.695715990785313,-21.195715990785313,pass_full,3.0
0.01,9651.677378848075,3618135.845885337,1.5477053601202484,1235.7820452455542,-1235.2820452455542,pass_bh_only,3.0
10.061491110850408,9651.677378848075,0.0,1.5477053601202484,16.224714718502728,-15.724714718502728,pass_halo_only,3.0
10.061491110850408,9651.677378848075,5000000.0,1.5477053601202484,18.812616793616602,-18.312616793616602,pass_bh_up,3.0
10.061491110850408,9651.677378848075,1809067.9229426684,1.5477053601202484,16.584444629179174,-16.084444629179174,pass_bh_down,3.0
15.0,9651.677378848075,3618135.845885337,1.5477053601202484,15.033120787602716,-14.533120787602716,pass_halo_up,3.0
5.030745555425204,9651.677378848075,3618135.845885337,1.5477053601202484,21.878967278052254,-21.378967278052254,pass_halo_down,3.0
10.061491110850408,9651.677378848075,3618135.845885337,2.0,22.518186030711185,-22.018186030711185,pass_ml_up,3.0
10.061491110850408,9651.677378848075,3618135.845885337,0.7738526800601242,21.236415625673878,-20.736415625673878,pass_ml_down,3.0
12.280025450361201,1468.6278430247696,17769.53604057774,0.6154573078663732,28.276643541844333,-27.776643541844333,pass_full,4.0
0.01,1468.6278430247696,17769.53604057774,0.6154573078663732,1427.0477515471675,-1426.5477515471675,pass_bh_only,4.0
12.280025450361201,1468.6278430247696,0.0,0.6154573078663732,29.594292506623084,-29.094292506623084,pass_halo_only,4.0
12.280025450361201,1468.6278430247696,35539.07208115548,0.6154573078663732,26.315197797357808,-25.815197797357808,pass_bh_up,4.0
12.280025450361201,1468.6278430247696,8884.76802028887,0.6154573078663732,27.084709882104416,-26.584709882104416,pass_bh_down,4.0
15.0,1468.6278430247696,17769.53604057774,0.6154573078663732,28.351860684410923,-27.851860684410923,pass_halo_up,4.0
6.1400127251806005,1468.6278430247696,17769.53604057774,0.6154573078663732,75.5137315342542,-75.0137315342542,pass_halo_down,4.0
12.280025450361201,1468.6278430247696,17769.53604057774,1.2309146157327464,29.757935521022976,-29.257935521022976,pass_ml_up,4.0
12.280025450361201,1468.6278430247696,17769.53604057774,0.3077286539331866,26.329251316052392,-25.829251316052392,pass_ml_down,4.0
0.1937044484120828,5303.125665886977,926407.3858149901,1.6269831267125825,1396.6740515804545,-1396.1740515804545,pass_full,5.0
0.01,5303.125665886977,926407.3858149901,1.6269831267125825,1343.564699615346,-1343.064699615346,pass_bh_only,5.0
0.1937044484120828,5303.125665886977,0.0,1.6269831267125825,1413.5708247096895,-1413.0708247096895,pass_halo_only,5.0
0.1937044484120828,5303.125665886977,1852814.7716299803,1.6269831267125825,1322.5261191992756,-1322.0261191992756,pass_bh_up,5.0
0.1937044484120828,5303.125665886977,463203.6929074951,1.6269831267125825,1202.5081889396959,-1202.0081889396959,pass_bh_down,5.0
0.3874088968241656,5303.125665886977,926407.3858149901,1.6269831267125825,1208.3914127845514,-1207.8914127845514,pass_halo_up,5.0
0.0968522242060414,5303.125665886977,926407.3858149901,1.6269831267125825,1168.450520900324,-1167.950520900324,pass_halo_down,5.0
0.1937044484120828,5303.125665886977,926407.3858149901,2.0,1386.0636431878124,-1385.5636431878124,pass_ml_up,5.0
0.1937044484120828,5303.125665886977,926407.3858149901,0.8134915633562912,1319.6822556062375,-1319.1822556062375,pass_ml_down,5.0
9.186458664540215,13491.436881848014,1576838.8972170495,0.931979796564619,15.438870895101235,-14.938870895101235,pass_full,6.0
0.01,13491.436881848014,1576838.8972170495,0.931979796564619,1116.9354358215664,-1116.4354358215664,pass_bh_only,6.0
9.186458664540215,13491.436881848014,0.0,0.931979796564619,15.661232497226642,-15.161232497226642,pass_halo_only,6.0
9.186458664540215,13491.436881848014,3153677.794434099,0.931979796564619,20.99691121991225,-20.49691121991225,pass_bh_up,6.0
9.186458664540215,13491.436881848014,788419.4486085247,0.931979796564619,17.372860873161116,-16.872860873161116,pass_bh_down,6.0
15.0,13491.436881848014,1576838.8972170495,0.931979796564619,35.98073751708723,-35.48073751708723,pass_halo_up,6.0
4.593229332270107,13491.436881848014,1576838.8972170495,0.931979796564619,21.922263460010445,-21.422263460010445,pass_halo_down,6.0
9.186458664540215,13491.436881848014,1576838.8972170495,1.863959593129238,32.7896195031759,-32.2896195031759,pass_ml_up,6.0
9.186458664540215,13491.436881848014,1576838.8972170495,0.4659898982823095,18.280193664655453,-17.780193664655453,pass_ml_down,6.0
14.704076469127855,8130.977698482028,1211473.0597146517,0.6540350278081506,17.379136136858182,-16.879136136858182,pass_full,7.0
0.01,8130.977698482028,1211473.0597146517,0.6540350278081506,1352.4066811045088,-1351.9066811045088,pass_bh_only,7.0
14.704076469127855,8130.977698482028,0.0,0.6540350278081506,19.11183984421451,-18.61183984421451,pass_halo_only,7.0
14.704076469127855,8130.977698482028,2422946.1194293033,0.6540350278081506,29.92752921568567,-29.42752921568567,pass_bh_up,7.0
14.704076469127855,8130.977698482028,605736.5298573258,0.6540350278081506,19.01339457049326,-18.51339457049326,pass_bh_down,7.0
15.0,8130.977698482028,1211473.0597146517,0.6540350278081506,19.857911545864255,-19.357911545864255,pass_halo_up,7.0
7.352038234563928,8130.977698482028,1211473.0597146517,0.6540350278081506,28.191260126947064,-27.691260126947064,pass_halo_down,7.0
14.704076469127855,8130.977698482028,1211473.0597146517,1.3080700556163012,18.726224838486544,-18.226224838486544,pass_ml_up,7.0
14.704076469127855,8130.977698482028,1211473.0597146517,0.3270175139040753,23.224488928678312,-22.724488928678312,pass_ml_down,7.0
8.481685238237873,2000.053198713056,4381292.794712532,1.0645973390543124,26.484115862001808,-25.984115862001808,pass_full,8.0
0.01,2000.053198713056,4381292.794712532,1.0645973390543124,1122.1860237813878,-1121.6860237813878,pass_bh_only,8.0
8.481685238237873,2000.053198713056,0.0,1.0645973390543124,26.524255690659306,-26.024255690659306,pass_halo_only,8.0
