-607.65 -445.421 13.9
-601.5 -296.714 12
-514.2 127.994 -9.1
-486 -504.591 -5.5
-472.8 131.455 0.4
-450.15 -47.0215 0.5
-409.05 134.917 -15.4
-406.5 -146.806 -9.7
-392.25 123.979 20.7
-369.15 114.009 2.9
-360.45 -253.052 -4.6
-343.5 -92.2062 -5.4
-339.15 -279.683 21.2
-328.8 444.194 0.4
-298.35 101.271 -0.6
-282.15 -164.252 -0.7
-281.7 -250.329 14.4
-231.3 231.517 -6.2
-214.65 -17.5292 7
-205.95 -73.4676 -10.5
-195.9 167.363 -6.8
-166.95 -16.8369 -5.8
-165.45 -95.391 1.5
-154.65 339.286 -3.3
-133.5 -168.129 1.9
-132 131.455 -0.4
-118.65 -2.52923 3.5
-89.1 -84.96 7.3
-86.1 -103.283 3.3
-63.9 26.2708 14.2
-63 170.917 2.8
-54 -119.345 -5.9
-39.6 108.609 -6.1
-36.9 -23.8523 7.8
-34.65 49.1169 7.8
-30.3 -144.96 -0.8
-29.4 31.2554 12.2
-28.35 -78.8676 -9.1
-18.75 -440.021 9.2
-13.5 -788.388 -1.6
-5.25 9.65538 5.6
-3.15 -36.4985 -18.3
-1.5 -97.329 -2.3
-0.6 -148.745 0.1
14.85 57.2861 17.2
33.6 5.50154 -6.6
43.8 -367.929 -11.6
50.85 36.5169 5.1
77.25 -22.8831 -1.3
83.4 38.1785 -4
98.7 39.4708 9.5
100.8 128.132 -2
103.65 -7.56 -11.1
114 -392.068 6.9
147.9 147.24 -0.7
168.3 -129.499 -2.1
171.45 132.563 -4.3
173.7 42.6092 -2.3
175.95 166.394 0.7
185.4 -61.8828 -4.9
186.6 96.24 -4.9
193.5 -29.16 3
304.05 612.702 -3.3
310.05 -478.514 7.2
310.8 16.44 -12.4
363 -157.329 9.2
375.45 212.086 7.4
415.5 2.04 2.9
543.9 -300.452 -5.5
590.4 -195.406 -3.2
602.85 340.394 10.4
