ra,dec,vlos,vlos_err,src
343.96545410156,-64.83630371094,-20.667088,0.216166,galah
343.85424804688,-64.89580535889,-1.63623,0.270294,galah
343.72079467773,-64.89250183105,2.553125,0.20693,galah
343.28448486328,-64.89553070068,9.77361,0.255961,galah
343.09259033203,-64.89083099365,16.671835,0.243457,galah
343.12658691406,-64.91494750977,-20.233864,0.209277,galah
343.07272338867,-64.96680450439,2.704546,0.209924,galah
342.66903686523,-64.97203063965,7.024498,0.223091,galah
342.39007568359,-64.85597229004,16.766447,0.213519,galah
342.18502807617,-64.77672576904,1.52487,0.204368,galah
342.01232910156,-64.74463653564,61.122791,0.209218,galah
342.017578125,-64.70291900635,3.283349,0.232241,galah
342.45129394531,-64.74363708496,10.984946,0.208726,galah
341.73034667969,-64.59330749512,-45.118168,0.215172,galah
341.79754638672,-64.59175109863,-10.247337,0.235561,galah
342.36782836914,-64.78324890137,5.494692,0.248043,galah
342.29244995117,-64.7059173584,-3.023752,0.341862,galah
342.60696411133,-64.77119445801,20.276968,0.234817,galah
342.26098632812,-64.62158203125,14.783596,0.226186,galah
343.00091552734,-64.82194519043,18.902554,0.245028,galah
341.94836425781,-64.46405792236,39.072964,0.227642,galah
342.01229858398,-64.45063781738,68.506699,0.222006,galah
341.80575561523,-64.40155792236,10.471593,0.238485,galah
342.32308959961,-64.59247589111,-14.580639,0.199709,galah
342.51232910156,-64.6319732666,31.213762,0.23374,galah
342.326171875,-64.56880187988,34.061741,0.212453,galah
342.16329956055,-64.37216949463,49.712032,0.218386,galah
342.10388183594,-64.32025146484,-35.703732,0.232631,galah
342.03295898438,-64.30442047119,-39.412388,0.225382,galah
341.84503173828,-64.16088867188,-1.690112,0.183888,galah
342.86199951172,-64.69858551025,15.606997,0.25597,galah
342.19442749023,-64.35399627686,10.457583,0.244515,galah
342.2412109375,-64.28530883789,-28.952217,0.245106,galah
342.12283325195,-64.2755279541,46.79726,0.259422,galah
342.21136474609,-64.32524871826,28.188124,0.208419,galah
342.01712036133,-64.14572143555,-11.702226,0.287368,galah
342.24374389648,-64.26936340332,-16.712393,0.235172,galah
342.44787597656,-64.51061248779,62.183548,0.21291,galah
342.08404541016,-64.10710906982,10.728627,0.233766,galah
342.25790405273,-64.24883270264,30.791016,0.22549,galah
342.73840332031,-64.69960784912,42.895699,0.212543,galah
342.19140625,-64.08166503906,1.187513,0.236083,galah
342.46655273438,-64.30905914307,4.296559,0.226509,galah
342.96304321289,-64.67639160156,10.464688,0.255073,galah
342.45108032227,-64.23191833496,-12.874251,0.213277,galah
342.67727661133,-64.46869659424,1.915893,0.217868,galah
342.57083129883,-64.27205657959,-15.511131,0.354104,galah
342.66967773438,-64.31041717529,23.144176,0.200678,galah
342.53024291992,-64.17575073242,7.652582,0.409679,galah
342.75820922852,-64.37660980225,-14.489603,0.229545,galah
